domain,name,country,source
yidianzixun.com,Yidian Zixun,China,manual
yitutech.com,Yitu Technology,China,wikidata
zenoti.com,Zenoti,India,manual
zhuanzhuan.com,Zhuanzhuan,China,manual
zuoyebang.com,Zuoyebang,China,manual
efishery.com,eFishery,Indonesia,wikipedia
wongnai.com,LINE MAN Wongnai,Thailand,wikidata
reliaquest.com,ReliaQuest,United States,wikipedia
dana.id,DANA,Indonesia,wikidata
nagad.com.bd,Nagad,Bangladesh,wikidata
ecovadis.com,Ecovadis,France,manual
scandit.com,Scandit,Switzerland,wikipedia
bluevoyant.com,BlueVoyant,United States,manual
payhawk.com,Payhawk,Bulgaria,manual
voi.com,Voi,Sweden,manual
neofinancial.com,Neo Financial,Canada,wikipedia
stytch.com,Stytch,United States,manual
epassi.fi,Epassi,Finland,manual
hmd.com,HMD Global,Finland,wikidata
iqm.tech,IQM,Finland,wikidata
hostaway.com,Hostaway,Finland,manual
mnt-halan.com,MNT-Halan,Egypt,manual
glean.com,Glean,United States,manual
sierra.ai,Sierra,United States,manual
decagon.ai,Decagon,United States,manual
hebbia.com,Hebbia,United States,manual
runway.com,Runway,United States,manual
pi.website,Physical Intelligence,United States,manual
worldlabs.ai,World Labs,United States,manual
poolside.ai,Poolside,United States,manual
magic.dev,Magic,United States,manual
sakana.ai,Sakana AI,Japan,manual
moonshot.cn,Moonshot AI,China,manual
stepfun.com,StepFun,China,manual
baichuan-ai.com,Baichuan,China,manual
writer.com,Writer,United States,manual
jasper.ai,Jasper,United States,manual
clay.com,Clay,United States,manual
ambiencehealthcare.com,Ambience Healthcare,United States,manual
hippocraticai.com,Hippocratic AI,United States,manual
supabase.com,Supabase,United States,manual
pinecone.io,Pinecone,United States,manual
modal.com,Modal,United States,manual
baseten.co,Baseten,United States,manual
fireworks.ai,Fireworks AI,United States,manual
lambda.ai,Lambda,United States,manual
crusoe.ai,Crusoe,United States,manual
lightmatter.co,Lightmatter,United States,manual
ayarlabs.com,Ayar Labs,United States,manual
d-matrix.ai,d-Matrix,United States,manual
huggingface.co,Hugging Face,United States,manual
snorkel.ai,Snorkel AI,United States,manual
anyscale.com,Anyscale,United States,manual
evenuplaw.com,EvenUp,United States,manual
